event_sub_title,market_subtitle,market_result
"On Feb 21, 2025",36° to 37°,no
"On Feb 21, 2025",38° to 39°,yes
"On Feb 21, 2025",40° or above,no
"On Feb 22, 2025",37° or below,no
"On Feb 22, 2025",38° to 39°,no
"On Feb 22, 2025",40° to 41°,no
"On Feb 22, 2025",42° to 43°,yes
"On Feb 22, 2025",44° to 45°,no
"On Feb 22, 2025",46° or above,no
"On Feb 23, 2025",56° or below,no
"On Feb 23, 2025",57° to 58°,no
"On Feb 23, 2025",59° to 60°,no
"On Feb 23, 2025",61° to 62°,no
"On Feb 23, 2025",63° to 64°,no
"On Feb 23, 2025",65° or above,yes
"On Feb 24, 2025",67° or below,no
"On Feb 24, 2025",68° to 69°,no
"On Feb 24, 2025",70° to 71°,no
"On Feb 24, 2025",72° to 73°,no
"On Feb 24, 2025",74° to 75°,no
"On Feb 24, 2025",76° or above,yes
"On Feb 25, 2025",70° or below,no
"On Feb 25, 2025",71° to 72°,no
"On Feb 25, 2025",73° to 74°,no
"On Feb 25, 2025",75° to 76°,no
"On Feb 25, 2025",77° to 78°,yes
"On Feb 25, 2025",79° or above,no
"On Feb 26, 2025",72° or below,no
"On Feb 26, 2025",73° to 74°,no
"On Feb 26, 2025",75° to 76°,no
"On Feb 26, 2025",77° to 78°,no
"On Feb 26, 2025",79° to 80°,no
"On Feb 26, 2025",81° or above,yes
"On Feb 27, 2025",61° or below,no
"On Feb 27, 2025",62° to 63°,no
"On Feb 27, 2025",64° to 65°,no
"On Feb 27, 2025",66° to 67°,no
"On Feb 27, 2025",68° to 69°,yes
"On Feb 27, 2025",70° or above,no
"On Feb 28, 2025",67° or below,no
"On Feb 28, 2025",68° to 69°,no
"On Feb 28, 2025",70° to 71°,no
"On Feb 28, 2025",72° to 73°,no
"On Feb 28, 2025",74° to 75°,no
"On Feb 28, 2025",76° or above,yes
